***********************************************************
[INFO] TRAINING ON RANDOM INSTANCES: TSPTW
[INFO] n_city: 20
[INFO] grid_size: 100
[INFO] max_tw_gap: 10
[INFO] max_tw_size: 100
[INFO] seed: 1
***********************************************************
[INFO] TRAINING PARAMETERS
[INFO] Algorithm: PPO
[INFO] learning rate: 0.000100
[INFO] eps_clip: 0.100000
[INFO] entropy_value: 0.001000
[INFO] hidden_layer: 4
[INFO] k_epochs: 3
[INFO] batch_size: 256
[INFO] update_timestep: 2048
[INFO] latent_dim: 128
***********************************************************
***********************************************************
[INFO] NUMBER OF FEATURES
[INFO] n_node_feat: 4
[INFO] n_edge_feat: 5
***********************************************************
[INFO] iter time avg_reward_learning
[DATA] 0 55.35 -1.0318414235773945
[DATA] 10 111.46 -1.0500977616012175
[DATA] 20 166.31 -1.0500260007556985
[DATA] 30 224.12 -1.0395186460722774
[DATA] 40 279.65 -1.0370893949233797
[DATA] 50 334.07 -1.033982692636544
[DATA] 60 392.89 -1.0319904383865708
[DATA] 70 447.48 -1.036404840396972
[DATA] 80 503.95 -1.04173571191123
[DATA] 90 558.86 -1.0375851946355195
[DATA] 100 613.68 -1.0328192199439352
[DATA] 200 702.85 -1.039995949005696
[DATA] 300 785.85 -1.0408628990180173
[DATA] 400 870.2 -1.0413534837295222
[DATA] 500 951.81 -1.0400412722193881
[DATA] 600 1034.0 -1.037795759111164
[DATA] 700 1119.87 -1.0426157066895607
[DATA] 800 1204.49 -1.044613371054119
[DATA] 900 1290.14 -1.0349218283838792
[DATA] 1000 1374.39 -1.0420535304017715
[DATA] 1100 1458.62 -1.0325900213750574
[DATA] 1200 1540.57 -1.0283821739082804
[DATA] 1300 1623.17 -1.0403801529606123
[DATA] 1400 1701.01 -1.0346722785160662
[DATA] 1500 1787.08 -1.0200801307826124
[DATA] 1600 1872.56 -0.9770909556353391
[DATA] 1700 1957.12 -0.9684418179077539
[DATA] 1800 2039.94 -0.9384887915848984
[DATA] 1900 2122.39 -0.9272842401501132
[DATA] 2000 2204.24 -0.8979073128061685
[DATA] 2100 2287.2 -0.8746900256880785
[DATA] 2200 2370.62 -0.8416671277749382
[DATA] 2300 2454.18 -0.8187338273888223
[DATA] 2400 2538.4 -0.7916666691019587
[DATA] 2500 2624.0 -0.7651087617209226
[DATA] 2600 2705.32 -0.7251318458816937
[DATA] 2700 2788.04 -0.703930761088431
[DATA] 2800 2863.91 -0.7030881738444014
[DATA] 2900 2946.56 -0.6710515778921772
[DATA] 3000 3028.77 -0.6511939827595141
[DATA] 3100 3114.22 -0.6330991130188379
[DATA] 3200 3199.84 -0.6034246202452475
[DATA] 3300 3288.47 -0.5742060081362319
[DATA] 3400 3371.17 -0.5503153023820853
[DATA] 3500 3454.83 -0.5378762988478181
[DATA] 3600 3536.05 -0.5286358057136212
[DATA] 3700 3619.04 -0.5128190810360629
[DATA] 3800 3700.67 -0.5032885654028098
[DATA] 3900 3783.02 -0.4974858732084273
[DATA] 4000 3865.65 -0.49702898101151155
[DATA] 4100 3947.94 -0.4886606503378269
[DATA] 4200 4028.35 -0.49314512002430455
[DATA] 4300 4109.77 -0.48342161541604517
[DATA] 4400 4192.14 -0.47983710469877217
[DATA] 4500 4273.53 -0.4672076917770473
[DATA] 4600 4354.66 -0.4639315141981653
[DATA] 4700 4438.42 -0.45639108139942763
[DATA] 4800 4531.42 -0.45789226955132256
[DATA] 4900 4615.4 -0.449428427780066
[DATA] 5000 4696.4 -0.44717140465944616
[DATA] 5100 4780.09 -0.447194607739596
[DATA] 5200 4864.29 -0.4459930408759841
[DATA] 5300 4947.68 -0.4465133461581484
[DATA] 5400 5029.61 -0.4465962908453232
[DATA] 5500 5114.73 -0.4371838412962784
[DATA] 5600 5193.11 -0.4414630478354772
[DATA] 5700 5275.02 -0.4397240677256156
[DATA] 5800 5356.03 -0.4368045739089685
[DATA] 5900 5441.38 -0.4405093818202178
[DATA] 6000 5529.0 -0.43474670069040294
[DATA] 6100 5611.8 -0.4360232993101767
[DATA] 6200 5694.02 -0.43489268085381455
[DATA] 6300 5776.06 -0.4348725612040628
[DATA] 6400 5859.77 -0.43381524708020786
[DATA] 6500 5943.57 -0.43403462300401074
[DATA] 6600 6027.63 -0.4283436543641313
[DATA] 6700 6114.27 -0.4299714306830645
[DATA] 6800 6198.89 -0.4270901797605761
[DATA] 6900 6282.65 -0.4281308396149855
[DATA] 7000 6358.61 -0.4286046202539209
[DATA] 7100 6441.23 -0.42986585982888215
[DATA] 7200 6523.93 -0.42621953544631114
[DATA] 7300 6607.19 -0.42802178660974555
[DATA] 7400 6688.47 -0.4306343872055402
[DATA] 7500 6773.52 -0.42611631156271906
[DATA] 7600 6855.46 -0.42482399171244867
[DATA] 7700 6936.5 -0.42307096827410107
[DATA] 7800 7018.52 -0.4241137658200506
[DATA] 7900 7102.03 -0.42408863621957194
[DATA] 8000 7189.61 -0.41945696588422804
[DATA] 8100 7273.13 -0.4228120192765803
[DATA] 8200 7355.37 -0.4227456269887131
[DATA] 8300 7437.44 -0.42185646831858054
[DATA] 8400 7514.42 -0.42004630207027643
[DATA] 8500 7597.12 -0.422794738216759
[DATA] 8600 7679.88 -0.4197703998684348
[DATA] 8700 7765.58 -0.42216311712705923
[DATA] 8800 7848.15 -0.42168401051529164
[DATA] 8900 7934.5 -0.4234293054338176
[DATA] 9000 8017.55 -0.42190118896912265
[DATA] 9100 8099.26 -0.4247804298954743
[DATA] 9200 8189.74 -0.4200628587627772
[DATA] 9300 8274.55 -0.4190320745823009
[DATA] 9400 8359.12 -0.42129823743588796
[DATA] 9500 8440.91 -0.42000815328425234
[DATA] 9600 8522.04 -0.41496822741891415
[DATA] 9700 8597.81 -0.4178837320999925
[DATA] 9800 8684.77 -0.418637789092958
[DATA] 9900 8769.58 -0.4187837419781239
[DATA] 10000 8851.01 -0.4179960111570725
[DATA] 10100 8933.78 -0.4183464723908091
[DATA] 10200 9020.86 -0.416654382492482
[DATA] 10300 9105.89 -0.41791991061069417
[DATA] 10400 9188.14 -0.41774963616374833
[DATA] 10500 9270.1 -0.4147906727902846
[DATA] 10600 9357.2 -0.4207961918122335
[DATA] 10700 9438.31 -0.4183668474395988
[DATA] 10800 9521.06 -0.41899926252518577
[DATA] 10900 9603.79 -0.4197375935986873
[DATA] 11000 9687.63 -0.41729706850491566
[DATA] 11100 9766.66 -0.4158617674484802
[DATA] 11200 9852.24 -0.4160166703552239
[DATA] 11300 9939.24 -0.41681352647105796
[DATA] 11400 10020.78 -0.41492578651491946
[DATA] 11500 10102.97 -0.41971316142570086
[DATA] 11600 10186.18 -0.42248207154628653
[DATA] 11700 10268.01 -0.41555032646127854
[DATA] 11800 10351.15 -0.41910183216639413
[DATA] 11900 10434.37 -0.4166886821977118
[DATA] 12000 10521.92 -0.418999713465874
[DATA] 12100 10603.27 -0.41746590801491174
[DATA] 12200 10687.88 -0.4180822969005745
[DATA] 12300 10769.09 -0.4182446726545716
[DATA] 12400 10851.18 -0.41789939354787464
[DATA] 12500 10931.87 -0.41709422386662
[DATA] 12600 11016.34 -0.4201317270672443
[DATA] 12700 11102.22 -0.4188565338865658
[DATA] 12800 11187.22 -0.41603228737309417
[DATA] 12900 11268.34 -0.4173386254935397
[DATA] 13000 11351.46 -0.4173338031705557
[DATA] 13100 11436.96 -0.42007792106008496
[DATA] 13200 11523.78 -0.41640546066118744
[DATA] 13300 11609.31 -0.4162179998260252
[DATA] 13400 11691.71 -0.41762877926994485
[DATA] 13500 11773.78 -0.4164131052046837
[DATA] 13600 11857.57 -0.4180489219349384
[DATA] 13700 11939.76 -0.41602033550306994
[DATA] 13800 12021.77 -0.41540743444155326
[DATA] 13900 12104.82 -0.4158430933931755
[DATA] 14000 12188.37 -0.41328562030505017
[DATA] 14100 12271.85 -0.4135228340749853
[DATA] 14200 12362.45 -0.41366127054806795
[DATA] 14300 12444.16 -0.4127151801366466
[DATA] 14400 12526.67 -0.4152724300933102
[DATA] 14500 12613.52 -0.41346550008069455
[DATA] 14600 12696.69 -0.4145775676075117
[DATA] 14700 12781.29 -0.4150185012959977
[DATA] 14800 12865.38 -0.4143189092354905
[DATA] 14900 12954.74 -0.41599034007854285
[DATA] 15000 13037.96 -0.41551543275554437
[DATA] 15100 13121.1 -0.4155547912866687
[DATA] 15200 13202.13 -0.41567591141740395
[DATA] 15300 13278.06 -0.41659263903711113
[DATA] 15400 13362.25 -0.4154589397684942
[DATA] 15500 13445.49 -0.4148192952483564
[DATA] 15600 13528.2 -0.41342482631823757
[DATA] 15700 13610.95 -0.4119969459057171
[DATA] 15800 13692.05 -0.414703215700675
[DATA] 15900 13773.37 -0.4110158704185816
[DATA] 16000 13857.72 -0.4130443688745293
[DATA] 16100 13942.41 -0.41154873600137115
[DATA] 16200 14028.14 -0.4106773875660489
[DATA] 16300 14112.03 -0.4125285481114757
[DATA] 16400 14196.16 -0.41346091396357343
[DATA] 16500 14281.47 -0.4131142538982841
[DATA] 16600 14363.36 -0.4128263805629823
[DATA] 16700 14443.05 -0.41154710823590895
[DATA] 16800 14525.72 -0.41054217608537685
[DATA] 16900 14612.42 -0.4117588955708045
[DATA] 17000 14694.79 -0.4127138728141745
[DATA] 17100 14775.7 -0.41498530413269646
[DATA] 17200 14856.57 -0.41451590496807733
[DATA] 17300 14939.77 -0.4149473111099131
[DATA] 17400 15023.64 -0.4130939959257288
[DATA] 17500 15104.8 -0.4160685474640058
[DATA] 17600 15186.92 -0.41541386545495046
[DATA] 17700 15268.8 -0.410561044370081
[DATA] 17800 15351.81 -0.41423133353526786
[DATA] 17900 15433.9 -0.41459461792921287
[DATA] 18000 15516.21 -0.4121518125049876
[DATA] 18100 15591.85 -0.411835315076275
[DATA] 18200 15676.1 -0.4163060868283128
[DATA] 18300 15756.84 -0.4132349350689955
[DATA] 18400 15837.8 -0.412969145204065
[DATA] 18500 15920.24 -0.413321911320686
[DATA] 18600 16004.6 -0.4136404395499108
[DATA] 18700 16090.83 -0.41385743975877864
[DATA] 18800 16171.85 -0.41199798337249965
[DATA] 18900 16254.59 -0.4099816895412203
[DATA] 19000 16349.41 -0.4131485800590741
[DATA] 19100 16440.41 -0.41419514215795133
[DATA] 19200 16528.79 -0.41534508431769984
[DATA] 19300 16618.96 -0.4178191710085389
[DATA] 19400 16704.46 -0.4143282220099085
[DATA] 19500 16795.23 -0.4129717665504499
[DATA] 19600 16888.03 -0.4141064626119935
[DATA] 19700 16972.13 -0.4154142554108754
[DATA] 19800 17054.13 -0.4132406003130528
[DATA] 19900 17136.95 -0.4188311168791965
[DATA] 20000 17225.25 -0.41408923651577423
[DATA] 20100 17307.74 -0.41527793947198305
[DATA] 20200 17391.87 -0.4141129851553879
[DATA] 20300 17472.52 -0.41482843678059267
[DATA] 20400 17555.67 -0.4144298921680315
[DATA] 20500 17642.62 -0.413419973482076
[DATA] 20600 17729.54 -0.4121446901059544
[DATA] 20700 17814.8 -0.41428963918449596
[DATA] 20800 17892.48 -0.4151500871299878
[DATA] 20900 17975.4 -0.41118432555889356
[DATA] 21000 18059.58 -0.41233711858789696
[DATA] 21100 18142.39 -0.4123149928766402
[DATA] 21200 18227.42 -0.41519763734312837
[DATA] 21300 18310.74 -0.4140535037580133
[DATA] 21400 18393.88 -0.41377592408398756
[DATA] 21500 18475.9 -0.4116060243553801
[DATA] 21600 18557.87 -0.411963167577679
[DATA] 21700 18643.87 -0.41237922365215085
[DATA] 21800 18725.44 -0.4142990261352565
[DATA] 21900 18807.71 -0.4140890725115049
[DATA] 22000 18890.42 -0.4129976794444296
[DATA] 22100 18971.08 -0.4131302261733793
[DATA] 22200 19044.97 -0.41297655564681585
[DATA] 22300 19129.75 -0.4136059326181142
[DATA] 22400 19216.49 -0.41184195396236745
[DATA] 22500 19297.53 -0.4118494350998387
[DATA] 22600 19378.86 -0.41302547799727757
[DATA] 22700 19463.75 -0.414054537483235
[DATA] 22800 19545.49 -0.4121267259854928
[DATA] 22900 19628.27 -0.4123082612022545
[DATA] 23000 19713.02 -0.4124163650317721
[DATA] 23100 19795.87 -0.4112499290911492
[DATA] 23200 19879.26 -0.41259979880234726
[DATA] 23300 19965.49 -0.4132079167958206
[DATA] 23400 20051.82 -0.41463020416111057
[DATA] 23500 20132.12 -0.4114577839967353
[DATA] 23600 20208.12 -0.4119815891372572
[DATA] 23700 20295.69 -0.4113439573186294
[DATA] 23800 20378.9 -0.41450555020853075
[DATA] 23900 20460.38 -0.41284562978911976
[DATA] 24000 20543.35 -0.41297019021955267
[DATA] 24100 20624.46 -0.41170014268514765
[DATA] 24200 20705.58 -0.409566712504011
[DATA] 24300 20790.54 -0.410316389941846
[DATA] 24400 20872.26 -0.41181463573142346
[DATA] 24500 20955.21 -0.4098192925147488
[DATA] 24600 21039.43 -0.4130527047788366
[DATA] 24700 21120.7 -0.4089980922856772
[DATA] 24800 21202.31 -0.41162773599212876
[DATA] 24900 21285.16 -0.4109549854679138
[DATA] 25000 21360.79 -0.41215999680153553
[DATA] 25100 21443.63 -0.4116196790919745
[DATA] 25200 21530.97 -0.4102908321140446
[DATA] 25300 21615.6 -0.41003916398331536
[DATA] 25400 21697.53 -0.4094093407179959
[DATA] 25500 21780.1 -0.4092470977555924
[DATA] 25600 21862.39 -0.40893247493891643
[DATA] 25700 21945.49 -0.411800943619908
[DATA] 25800 22027.53 -0.4102410126346083
[DATA] 25900 22110.64 -0.4115068857746197
[DATA] 26000 22192.5 -0.4106894302627939
[DATA] 26100 22273.18 -0.4121449874579408
[DATA] 26200 22356.94 -0.4085894507071768
[DATA] 26300 22438.24 -0.40940726520236465
[DATA] 26400 22513.65 -0.4102523540425515
[DATA] 26500 22597.19 -0.4089388646884348
[DATA] 26600 22677.71 -0.4098998253141085
[DATA] 26700 22764.52 -0.41006186684026813
[DATA] 26800 22846.92 -0.41128315107040114
[DATA] 26900 22927.85 -0.4110750264144391
[DATA] 27000 23008.78 -0.4093782493374551
[DATA] 27100 23093.76 -0.41009819305881473
[DATA] 27200 23176.57 -0.40830082886028896
[DATA] 27300 23259.2 -0.41033504050936465
[DATA] 27400 23346.79 -0.4094207186112884
[DATA] 27500 23428.96 -0.4083101432924795
[DATA] 27600 23512.97 -0.4088048478054077
[DATA] 27700 23591.74 -0.4100444400633003
[DATA] 27800 23675.61 -0.40996964047834156
[DATA] 27900 23756.89 -0.40902268751889465
[DATA] 28000 23839.55 -0.4097329941677478
[DATA] 28100 23925.26 -0.4108800684255728
[DATA] 28200 24006.2 -0.4093058184771375
[DATA] 28300 24089.42 -0.4094883241292207
[DATA] 28400 24171.49 -0.409497795021571
[DATA] 28500 24255.18 -0.410768276608342
[DATA] 28600 24336.67 -0.4109673225847253
[DATA] 28700 24418.47 -0.41084884038262215
[DATA] 28800 24501.95 -0.4117509583908518
[DATA] 28900 24583.41 -0.41164245784899306
[DATA] 29000 24665.18 -0.40944160530676427
[DATA] 29100 24746.33 -0.4121009994634607
[DATA] 29200 24829.73 -0.4092857649045664
[DATA] 29300 24916.87 -0.41225019596939366
[DATA] 29400 24999.05 -0.4124080210043743
[DATA] 29500 25083.81 -0.41004995189668564
[DATA] 29600 25171.14 -0.40846087550394455
[DATA] 29700 25257.42 -0.410053168633984
[DATA] 29800 25343.33 -0.41036899084122935
[DATA] 29900 25427.92 -0.41094761858930406
[DATA] 30000 25511.19 -0.4081594742196087
[DATA] 30100 25594.31 -0.4104646515807831
[DATA] 30200 25676.39 -0.40989288173413924
[DATA] 30300 25759.65 -0.41158232945504203
[DATA] 30400 25843.4 -0.410311794830839
[DATA] 30500 25922.29 -0.4119769939634794
[DATA] 30600 26003.56 -0.41054137143785757
[DATA] 30700 26088.92 -0.41155644833312166
[DATA] 30800 26171.87 -0.4109631975117685
[DATA] 30900 26253.82 -0.4145630185635578
[DATA] 31000 26338.28 -0.41360623889403636
[DATA] 31100 26421.9 -0.4130571810868842
[DATA] 31200 26504.25 -0.41400257554138536
[DATA] 31300 26588.83 -0.410204309023929
[DATA] 31400 26671.28 -0.41170205581210284
[DATA] 31500 26753.09 -0.4109722563596952
[DATA] 31600 26837.69 -0.4111052782759069
[DATA] 31700 26922.58 -0.4080249827635376
[DATA] 31800 27004.51 -0.40972473766703515
[DATA] 31900 27083.76 -0.4102652454116806
[DATA] 32000 27168.4 -0.40962405161084575
[DATA] 32100 27250.87 -0.409877812039792
[DATA] 32200 27332.39 -0.40989291615326506
[DATA] 32300 27415.35 -0.40955402100467864
[DATA] 32400 27497.25 -0.4088550756293434
[DATA] 32500 27585.52 -0.4097947532469574
[DATA] 32600 27668.5 -0.40840071989600746
[DATA] 32700 27749.57 -0.4094851423986014
[DATA] 32800 27834.52 -0.40882035648616016
[DATA] 32900 27917.39 -0.40953679160405854
[DATA] 33000 27999.13 -0.410669461903438
[DATA] 33100 28093.11 -0.410730954201183
[DATA] 33200 28176.11 -0.40895793054365726
[DATA] 33300 28252.96 -0.4092932095845066
[DATA] 33400 28339.65 -0.4093769982713172
[DATA] 33500 28425.72 -0.40844643960676996
[DATA] 33600 28508.97 -0.40994575196576816
[DATA] 33700 28591.85 -0.4100154010539569
[DATA] 33800 28680.07 -0.4115599194924587
[DATA] 33900 28763.4 -0.4113760611830395
[DATA] 34000 28845.76 -0.4074728616766542
[DATA] 34100 28928.82 -0.41077344448208725
[DATA] 34200 29012.03 -0.40981085978787574
[DATA] 34300 29095.26 -0.40831675499347225
[DATA] 34400 29179.17 -0.4095438218145
[DATA] 34500 29263.29 -0.4087957113506173
[DATA] 34600 29347.27 -0.4094993139627142
[DATA] 34700 29426.33 -0.40980371284309053
[DATA] 34800 29510.63 -0.4077912349190152
[DATA] 34900 29595.56 -0.4081185785505756
[DATA] 35000 29678.4 -0.4078777850384029
[DATA] 35100 29762.06 -0.40843116045401884
[DATA] 35200 29847.3 -0.4070313946705993
[DATA] 35300 29927.72 -0.40856478594754786
[DATA] 35400 30011.85 -0.4101936704033835
[DATA] 35500 30093.74 -0.4090019373251014
[DATA] 35600 30177.42 -0.4089384653781125
[DATA] 35700 30262.76 -0.4075692686027173
[DATA] 35800 30348.69 -0.4086942034214633
[DATA] 35900 30430.91 -0.40944685618634397
[DATA] 36000 30507.69 -0.408184113127479
[DATA] 36100 30590.88 -0.4093226008458016
[DATA] 36200 30675.01 -0.40827079905662467
[DATA] 36300 30761.83 -0.40666229162016726
[DATA] 36400 30843.31 -0.4076173465352413
[DATA] 36500 30929.42 -0.40862398476568734
[DATA] 36600 31014.08 -0.40818605572013744
[DATA] 36700 31097.16 -0.4092307477179751
[DATA] 36800 31180.35 -0.40779211039066804
[DATA] 36900 31262.34 -0.40732103532832153
[DATA] 37000 31344.12 -0.408378847222035
[DATA] 37100 31427.28 -0.40906786763019687
[DATA] 37200 31510.38 -0.405864282455177
[DATA] 37300 31592.6 -0.408408158691488
[DATA] 37400 31669.08 -0.4081209432235272
[DATA] 37500 31753.33 -0.40886900556477324
[DATA] 37600 31836.25 -0.40711082287235084
[DATA] 37700 31919.09 -0.41040357456961774
[DATA] 37800 32003.5 -0.41010160467390394
[DATA] 37900 32088.71 -0.41097210199297707
[DATA] 38000 32170.24 -0.4115249885355746
[DATA] 38100 32258.76 -0.4083344250803664
[DATA] 38200 32344.88 -0.4099842480806941
[DATA] 38300 32427.33 -0.40919267494313416
[DATA] 38400 32514.04 -0.4079040006184486
[DATA] 38500 32597.74 -0.4073179215431567
[DATA] 38600 32689.05 -0.4074025786200238
[DATA] 38700 32777.17 -0.4101604464554622
[DATA] 38800 32853.41 -0.40709732897349526
[DATA] 38900 32938.76 -0.4092513019488638
[DATA] 39000 33023.12 -0.4078020785803224
[DATA] 39100 33108.46 -0.40865736488854415
[DATA] 39200 33191.85 -0.4064005777234963
[DATA] 39300 33275.11 -0.4112928560278341
[DATA] 39400 33358.69 -0.4069680576124975
[DATA] 39500 33444.03 -0.41057561604782733
[DATA] 39600 33524.5 -0.4089877116360205
[DATA] 39700 33610.31 -0.4099784821603555
[DATA] 39800 33693.98 -0.4078046916771239
[DATA] 39900 33777.22 -0.4086476035470932
[DATA] 40000 33860.55 -0.40875862618035314
[DATA] 40100 33943.4 -0.41068052198658506
[DATA] 40200 34025.51 -0.410133555038811
[DATA] 40300 34107.21 -0.40769720735633486
[DATA] 40400 34189.82 -0.40973534031893893
[DATA] 40500 34273.27 -0.40533438712693937
[DATA] 40600 34356.11 -0.4082419520952395
[DATA] 40700 34441.24 -0.40965371957873414
[DATA] 40800 34526.01 -0.40871605502306607
[DATA] 40900 34610.1 -0.4083922689894967
[DATA] 41000 34695.39 -0.4105752186191775
[DATA] 41100 34777.97 -0.40921629082828537
[DATA] 41200 34860.54 -0.4093312814795855
[DATA] 41300 34943.24 -0.4093955789770344
[DATA] 41400 35026.9 -0.4100905037731453
[DATA] 41500 35110.19 -0.41016086932559226
[DATA] 41600 35187.65 -0.4098186034447964
[DATA] 41700 35272.84 -0.40852949765211927
[DATA] 41800 35357.43 -0.4093741551905377
[DATA] 41900 35438.96 -0.40983978040666946
[DATA] 42000 35520.16 -0.41346744328504953
[DATA] 42100 35605.58 -0.4114360071110818
[DATA] 42200 35691.65 -0.4096962479033975
[DATA] 42300 35773.94 -0.40938729694165465
[DATA] 42400 35858.04 -0.4090290719599698
[DATA] 42500 35941.14 -0.4084283534159709
[DATA] 42600 36029.35 -0.4102620483017985
[DATA] 42700 36112.42 -0.40934589317614906
[DATA] 42800 36195.59 -0.40942478467470683
[DATA] 42900 36279.24 -0.40911735120817505
[DATA] 43000 36360.24 -0.40986995936528425
[DATA] 43100 36448.11 -0.4077964733126291
[DATA] 43200 36531.2 -0.410062232377581
[DATA] 43300 36616.64 -0.40909888653981846
[DATA] 43400 36707.58 -0.40878719523891965
[DATA] 43500 36795.42 -0.40829556402238326
[DATA] 43600 36878.7 -0.4084718840802749
[DATA] 43700 36963.02 -0.4083748547429073
[DATA] 43800 37045.65 -0.41120748883757335
[DATA] 43900 37128.49 -0.4076642560269405
[DATA] 44000 37212.24 -0.40967825441193134
[DATA] 44100 37295.1 -0.4090354287465909
[DATA] 44200 37376.61 -0.40845242514631885
[DATA] 44300 37453.75 -0.40709069279289695
[DATA] 44400 37535.2 -0.40654448933361365
[DATA] 44500 37618.91 -0.406464473373849
[DATA] 44600 37703.62 -0.4081841659881591
[DATA] 44700 37791.81 -0.40876089110752445
[DATA] 44800 37872.75 -0.4083005453032919
[DATA] 44900 37954.04 -0.4073091105845563
[DATA] 45000 38038.26 -0.4087565434965656
[DATA] 45100 38119.44 -0.40651125521965137
[DATA] 45200 38203.62 -0.4082577924883485
[DATA] 45300 38287.09 -0.40923698790678675
[DATA] 45400 38370.59 -0.41022862379620334
[DATA] 45500 38454.71 -0.40750081453823056
[DATA] 45600 38540.82 -0.41068338226902074
[DATA] 45700 38627.42 -0.40923922952125463
[DATA] 45800 38716.69 -0.409695376786573
[DATA] 45900 38806.52 -0.407775741244567
[DATA] 46000 38897.66 -0.4084816455706046
[DATA] 46100 38992.26 -0.40890980943776095
[DATA] 46200 39085.54 -0.4079345584930147
[DATA] 46300 39176.73 -0.40767882839667713
[DATA] 46400 39265.48 -0.4082818950401823
[DATA] 46500 39348.65 -0.4081132270487475
[DATA] 46600 39431.31 -0.4092217775089138
[DATA] 46700 39513.59 -0.4083118772397125
[DATA] 46800 39595.97 -0.40868983055100316
[DATA] 46900 39678.42 -0.4077635211916003
[DATA] 47000 39760.17 -0.4107136835388425
[DATA] 47100 39837.68 -0.41007271309102394
[DATA] 47200 39920.78 -0.40963799573748944
[DATA] 47300 40004.18 -0.40888007726970954
[DATA] 47400 40087.95 -0.4091717583163165
[DATA] 47500 40170.89 -0.41047271447183253
[DATA] 47600 40253.95 -0.4090570351941031
[DATA] 47700 40336.36 -0.4099991961040368
[DATA] 47800 40419.71 -0.41005223209595315
[DATA] 47900 40503.1 -0.4090333449041076
[DATA] 48000 40585.5 -0.40584238911151155
[DATA] 48100 40667.31 -0.4072450593360948
[DATA] 48200 40748.78 -0.4075076882297144
[DATA] 48300 40831.0 -0.4081437164681314
[DATA] 48400 40913.8 -0.4101237610756141
[DATA] 48500 40991.03 -0.40685826159700617
[DATA] 48600 41073.84 -0.40861343975273867
[DATA] 48700 41156.54 -0.4068384501234222
[DATA] 48800 41238.83 -0.4078721683864274
[DATA] 48900 41320.72 -0.40798166985217804
[DATA] 49000 41403.35 -0.4079280191573217
[DATA] 49100 41486.05 -0.4095057040047099
[DATA] 49200 41568.91 -0.40788334486857847
[DATA] 49300 41651.39 -0.4074232543677156
[DATA] 49400 41735.11 -0.40798310039966723
[DATA] 49500 41818.04 -0.4061733863875301
[DATA] 49600 41899.93 -0.4063963790217845
[DATA] 49700 41982.7 -0.40746313035394754
[DATA] 49800 42064.69 -0.4076108288649117
[DATA] 49900 42141.88 -0.4062015068951819
[DATA] 50000 42224.39 -0.4070760849389638
[DATA] 50100 42306.77 -0.40927517370921346
[DATA] 50200 42388.87 -0.40724864055742765
[DATA] 50300 42471.79 -0.40778095140943393
[DATA] 50400 42553.71 -0.4070706137998219
[DATA] 50500 42636.78 -0.4076337396946139
[DATA] 50600 42718.59 -0.4071779178567707
[DATA] 50700 42800.65 -0.4068011595897476
[DATA] 50800 42883.45 -0.40781211505753634
[DATA] 50900 42964.85 -0.4073312677938251
[DATA] 51000 43048.06 -0.40619387362321435
[DATA] 51100 43129.81 -0.4086492641885666
[DATA] 51200 43212.05 -0.4093764772895107
[DATA] 51300 43288.34 -0.4071359508084245
[DATA] 51400 43370.53 -0.4090200556665123
[DATA] 51500 43451.87 -0.40750137629954986
[DATA] 51600 43534.23 -0.4090607267583008
[DATA] 51700 43616.02 -0.4089553080297922
